Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Source_Location_X,Source_Location_Y,Source_Emission_rate,Wind_speed,wind_angle
0.021189,0.039887,0.48702,0.00090129,0.021189,100,50,0.0069127,1,0
0.0030715,0.011234,0.13716,0.00025383,0.0030715,100,50,0.0050101,5,0
0.0032399,5.81E-05,0.00070995,1.31E-06,0.0032399,100,50,0.006342,6,0
0.0010692,0.0091868,0.11217,0.00020759,0.0010692,100,50,0.00034881,1,0
0.0013802,0.0049772,0.060771,0.00011246,0.0013802,100,50,0.0045028,10,0
0.0037324,0.0057447,0.070143,0.00012981,0.0037324,100,50,0.012177,10,0
0.0072737,0.0029654,0.036207,6.70E-05,0.0072737,100,50,0.014238,6,0
0.011324,0.0036631,0.044727,8.28E-05,0.011324,100,50,0.0073884,2,0
0.004301,0.0048405,0.059103,0.00010938,0.004301,100,50,0.011225,8,0
0.041406,0.037794,0.46147,0.00085399,0.041406,100,50,0.013508,1,0
0.0032076,0.02663,0.32516,0.00060174,0.0032076,100,50,0.0010464,1,0
0.0092338,0.014245,0.17394,0.00032189,0.0092338,100,50,0.01205,4,0
0.0030715,0.0058028,0.070853,0.00013112,0.0030715,100,50,0.01002,10,0
0.0011542,0.0011484,0.014021,2.59E-05,0.0011542,100,50,0.0030124,8,0
0.00451,0.0037794,0.046147,8.54E-05,0.00451,100,50,0.014713,10,0
0.0064567,0.004718,0.057607,0.00010661,0.0064567,100,50,0.014745,7,0
0.002754,0.0021837,0.026662,4.93E-05,0.002754,100,50,0.008086,9,0
0.0020047,0.00065413,0.0079869,1.48E-05,0.0020047,100,50,0.0052321,8,0
0.032659,0.05547,0.67729,0.0012534,0.032659,100,50,0.010654,1,0
0.024154,0.00093033,0.011359,2.10E-05,0.024154,100,50,0.01576,2,0
0.008845,0.0090706,0.11075,0.00020496,0.008845,100,50,0.0057712,2,0
0.0048599,0.0028345,0.03461,6.41E-05,0.0048599,100,50,0.012684,8,0
0.0044614,0.00094194,0.011501,2.13E-05,0.0044614,100,50,0.014555,10,0
0.00059291,0.00074425,0.0090873,1.68E-05,0.00059291,100,50,0.0019343,10,0
0.005431,0.0057127,0.069752,0.00012908,0.005431,100,50,0.014174,8,0
0.004092,0.0033026,0.040325,7.46E-05,0.004092,100,50,0.01335,10,0
0.00046655,0.00081402,0.0099393,1.84E-05,0.00046655,100,50,0.0015221,10,0
0.0043545,0.0035119,0.042881,7.94E-05,0.0043545,100,50,0.007103,5,0
0.021918,0.027619,0.33722,0.00062407,0.021918,100,50,0.014301,2,0
4.86E-05,0.0035468,0.043307,8.01E-05,4.86E-05,100,50,0.00012684,8,0
0.0019683,0.0060616,0.074012,0.00013697,0.0019683,100,50,0.005137,8,0
0.0032075,0.0069628,0.085016,0.00015733,0.0032075,100,50,0.0083714,8,0
0.0038491,0.0018839,0.023002,4.26E-05,0.0038491,100,50,0.012557,10,0
0.045392,0.020002,0.24422,0.00045196,0.045392,100,50,0.014808,1,0
0.039754,0.016862,0.20588,0.00038101,0.039754,100,50,0.012969,1,0
0.0015066,0.0027037,0.033013,6.11E-05,0.0015066,100,50,0.001966,4,0
0.001458,0.0056982,0.069575,0.00012876,0.001458,100,50,0.0023782,5,0
0.0054431,0.0029848,0.036444,6.74E-05,0.0054431,100,50,0.0053272,3,0
0.0083591,0.0039248,0.047921,8.87E-05,0.0083591,100,50,0.010908,4,0
0.0074681,0.0020157,0.024611,4.55E-05,0.0074681,100,50,0.014618,6,0
0.016184,0.028723,0.35071,0.00064903,0.016184,100,50,0.010559,2,0
0.022939,0.0066866,0.081644,0.00015109,0.022939,100,50,0.014967,2,0
0.017107,0.054191,0.66167,0.0012245,0.017107,100,50,0.0055809,1,0
0.0044225,0.011047,0.13489,0.00024963,0.0044225,100,50,0.0028856,2,0
0.00098414,0.0071372,0.087146,0.00016127,0.00098414,100,50,0.0025685,8,0
0.00034019,0.0013373,0.016329,3.02E-05,0.00034019,100,50,0.00066591,6,0
0.0023133,0.0047795,0.058358,0.000108,0.0023133,100,50,0.0075469,10,0
0.012701,0.008024,0.097973,0.00018131,0.012701,100,50,0.01243,3,0
0.0012312,0.00031011,0.0037864,7.01E-06,0.0012312,100,50,0.0024099,6,0
0.038977,0.041515,0.5069,0.00093808,0.038977,100,50,0.012716,1,0
0.016038,0.013199,0.16116,0.00029824,0.016038,100,50,0.010464,2,0
0.0030563,0.0030364,0.037075,6.86E-05,0.0030563,100,50,0.0089739,9,0
0.0001701,0.0077623,0.094778,0.0001754,0.0001701,100,50,0.00022197,4,0
0.022064,0.010117,0.12353,0.00022861,0.022064,100,50,0.014396,2,0
0.0054917,0.0080821,0.098683,0.00018262,0.0054917,100,50,0.01075,6,0
0.030812,0.040469,0.49412,0.00091443,0.030812,100,50,0.010052,1,0
0.002187,0.00564,0.068865,0.00012744,0.002187,100,50,0.0042808,6,0
0.0045489,0.0080007,0.097689,0.00018078,0.0045489,100,50,0.0074201,5,0
0.0030982,0.0036486,0.044549,8.24E-05,0.0030982,100,50,0.008086,8,0
0.00017496,0.0080007,0.097689,0.00018078,0.00017496,100,50,0.00028539,5,0
0.01803,0.0080821,0.098683,0.00018262,0.01803,100,50,0.011764,2,0
0.003956,0.0013722,0.016755,3.10E-05,0.003956,100,50,0.012906,10,0
0.0014288,0.0044771,0.054666,0.00010117,0.0014288,100,50,0.0046613,10,0
0.0006665,0.00031564,0.003854,7.13E-06,0.0006665,100,50,0.0015221,7,0
0.017301,0.0034887,0.042597,7.88E-05,0.017301,100,50,0.0056443,1,0
0.0004536,0.0088186,0.10768,0.00019926,0.0004536,100,50,0.00088787,6,0
0.0047627,0.005964,0.07282,0.00013476,0.0047627,100,50,0.010876,7,0
0.0077597,0.002132,0.026031,4.82E-05,0.0077597,100,50,0.015189,6,0
